year,area,site,acropora,favites,porites,total
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,1,1
2008,0.1089,MNWC,0,1,0,3
2008,0.1089,MNWC,1,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,4
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,1,1
2008,0.1089,MNWC,0,0,1,2
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,1,1
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,2,2
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,2,5
2008,0.1089,MNWG,0,0,4,4
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,0,2,6,8
2008,0.1089,MNWG,1,0,1,2
2008,0.1089,MNWG,0,3,1,5
2008,0.1089,MNWG,0,0,1,1
2008,0.1089,MNWG,2,0,0,2
2008,0.1089,MNWG,1,0,0,2
2008,0.1089,MNWG,0,0,0,5
2008,0.1089,MNWG,0,0,3,3
2008,0.1089,MNWG,1,1,0,3
2008,0.1089,MNWG,0,1,0,1
2008,0.1089,MNWG,0,1,2,4
2008,0.1089,MNWG,0,0,0,3
2008,0.1089,MNWG,0,4,1,13
2008,0.1089,MNWG,3,2,3,8
2008,0.1089,MNWG,1,3,5,13
2008,0.1089,MNWG,0,2,0,3
2008,0.1089,MNWG,0,1,0,1
2008,0.1089,MNWG,3,0,4,10
2008,0.1089,MNWG,0,0,1,9
2008,0.1089,MNWG,0,0,4,5
2008,0.1089,MNWG,1,1,0,5
2008,0.1089,MNWG,0,0,0,6
2008,0.1089,MNWG,0,0,1,1
2008,0.1089,MNWG,2,1,0,10
2008,0.1089,MNWG,0,3,0,3
2008,0.1089,MNWG,0,4,0,4
2008,0.1089,MNWG,0,0,2,3
2008,0.1089,MNWG,1,1,0,2
2008,0.1089,MNWG,1,0,4,7
2008,0.1089,MNWG,0,0,4,4
2008,0.1089,MNWG,0,0,0,1
2008,0.1089,MNWG,0,0,2,2
2008,0.1089,MNWG,0,0,1,1
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWG,1,1,0,2
2008,0.1089,MNWG,0,0,2,3
2008,0.1089,MNWG,0,0,2,2
2008,0.1089,MNWG,0,1,1,2
2008,0.1089,MNWG,0,0,8,8
2008,0.1089,MNWG,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,1,0,1
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,1,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,1,1,2
2008,0.1089,MNWC,1,0,0,2
2008,0.1089,MNWC,0,0,1,1
2008,0.1089,MNWC,0,0,2,2
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,3
2008,0.1089,MNWC,0,0,1,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,3
2008,0.1089,MNWC,0,0,0,5
2008,0.1089,MNWC,0,0,0,3
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,4
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,1
2008,0.1089,MNWC,0,0,0,0
2008,0.1089,MNWC,0,0,0,2
2008,0.1089,MNWC,0,0,0,4
2008,0.1089,MSAG,0,1,2,4
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,1,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,2,0,4
2008,0.1089,MSAG,0,1,0,1
2008,0.1089,MSAG,0,1,0,1
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,0,0,3
2008,0.1089,MSAG,0,0,0,4
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,1,1,3
2008,0.1089,MSAG,0,1,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,1,0,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,1,1,0,2
2008,0.1089,MSAG,0,0,1,1
2008,0.1089,MSAG,1,1,0,2
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,1,1,0,2
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,1,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,3
2008,0.1089,MSAG,0,0,0,4
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,2,0,2
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,1,1,0,2
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAG,0,0,0,1
2008,0.1089,MSAG,0,0,0,0
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,1,0,0,1
2008,0.1089,MSAP,0,1,0,2
2008,0.1089,MSAP,0,0,1,2
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,1,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,1,3
2008,0.1089,MSAP,2,0,0,3
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,1,0,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,1,0,0,1
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,1,2
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,2,0,0,3
2008,0.1089,MSAP,1,0,0,1
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,1,0,0,2
2008,0.1089,MSAP,0,0,1,4
2008,0.1089,MSAP,0,0,3,3
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,1,2
2008,0.1089,MSAP,0,0,3,3
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,0,0,0,3
2008,0.1089,MSAP,0,1,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,1,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,2,0,0,4
2008,0.1089,MSAP,0,1,0,7
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,1,0,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,1,0,3
2008,0.1089,MSAP,0,0,0,4
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,0
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,3
2008,0.1089,MSAP,0,0,0,1
2008,0.1089,MSAP,0,0,0,2
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,2
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,2
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,1,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,4
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,1,0,1
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,1
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,0,0,0,0
2008,0.1089,MWC,1,0,0,1
2008,0.1089,MWG,1,1,0,2
2008,0.1089,MWG,0,1,0,2
2008,0.1089,MWG,0,1,0,2
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,2,4
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,2
2008,0.1089,MWG,1,0,0,1
2008,0.1089,MWG,0,0,0,3
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,1,1
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,1,0,0,1
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,1,0,2
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,1,0,3
2008,0.1089,MWG,0,1,2,3
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,1,2,0,3
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWG,0,0,0,2
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,2
2008,0.1089,MWG,0,0,0,4
2008,0.1089,MWG,0,1,0,1
2008,0.1089,MWG,0,1,0,1
2008,0.1089,MWG,0,1,0,1
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,2
2008,0.1089,MWG,0,0,2,3
2008,0.1089,MWG,1,0,0,1
2008,0.1089,MWG,0,1,0,2
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,1,0,1
2008,0.1089,MWG,0,2,0,3
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,0
2008,0.1089,MWG,0,0,0,1
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,1,0,0,2
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,2,5
2008,0.1089,MWP,0,0,1,2
2008,0.1089,MWP,2,0,0,2
2008,0.1089,MWP,0,0,0,1
2008,0.1089,MWP,0,0,0,2
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,2,0,0,2
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,0,0,2,2
2008,0.1089,MWP,0,0,0,1
2008,0.1089,MWP,0,0,0,1
2008,0.1089,MWP,0,0,0,1
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,1,0,0,2
2008,0.1089,MWP,0,1,1,2
2008,0.1089,MWP,0,0,0,1
2008,0.1089,MWP,0,0,0,0
2008,0.1089,MWP,1,0,0,1
2008,0.1089,MWP,0,0,0,2
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,0,0,1,1
2008,0.1089,MWP,1,0,0,1
2008,0.1089,MWP,0,0,2,4
2008,0.1089,PNEC,0,0,1,1
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,4
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,0,0,0
2008,0.1089,PNEC,0,0,0,1
2008,0.1089,PNEC,0,1,0,1
